Signal,label
-0.004414508924098214,0
0.0008406018066743882,0
-0.0015029490043519682,0
0.00044452844972116045,0
-0.0005850249010272841,0
-0.0021668056394462706,0
-0.0028230873966634358,0
-0.0003999567975612791,0
0.0015822944645474072,0
-0.0021801443656855792,0
-0.004329761339729506,0
0.0002878854980252422,0
-0.002440398652644933,0
-0.003021017403881315,0
-0.00029682776853712077,0
0.002908345287626301,0
-0.003347348968340316,0
0.0018200988387916698,0
0.000494768279157242,0
0.0038042443752291217,0
0.0012786533753231337,0
0.004121249868860443,0
0.00543762535115614,0
-0.001405335517419924,0
-0.001835639727932102,0
-0.0006431741447912615,0
0.0008509413669116309,0
0.0029280952375347565,0
-0.0013147213826416166,0
-0.002123620772737681,0
-0.0009259036841347654,0
0.0019340851209293801,0
-0.000479774963132452,0
0.0017758880140855697,0
-0.0010772510942256527,0
7.237094360594762e-05,0
-0.004171716942967569,0
-0.001965233676421049,0
0.0010656830681768498,0
0.0007785367802320565,0
-0.0006640058155156782,0
0.0002470281585681324,0
0.002258147726135559,0
3.4664250855395794e-05,0
0.0017844162441004862,0
0.0006904507337237194,0
-0.004879717774038146,0
0.0017740490129798097,0
-0.0029900829182672234,0
-0.0008035667340283458,0
-0.0009561420986553213,0
-0.0025642936002691808,0
0.00038430846108555215,0
-0.00010879804670793659,0
-0.0007063207634863157,0
0.0020701033091143468,0
-0.005386268845458739,0
-0.0015198504729712107,0
-0.00036428296858515794,0
0.0015516798087645363,0
-0.0019303070595635295,0
0.0029795784517619604,0
0.0007609290599144723,0
0.002475013929827082,0
-0.0013911192965031188,0
0.00023145844925552493,0
0.0021223205831777258,0
0.0025267828959676408,0
0.001865134170569737,0
-0.0019910595623873263,0
-0.002721476077056697,0
0.0029460390857820773,0
0.0021266613231050633,0
0.00044944525352076285,0
-0.0001243305423697415,0
0.004003794913211601,0
-0.0008081077767143547,0
0.0022584665187460524,0
-0.002258133951205385,0
-0.000980196312288698,0
0.0014659209548145385,0
0.004135368486516157,0
-0.0026886512504987704,0
-0.0038285284764391107,0
-0.0015701101453071025,0
0.001365389385866443,0
0.008312171623406356,0
0.006002028632619322,0
-0.0030804554741488193,0
-0.0008498080468697267,0
-0.00031178286702594326,0
-0.0009135437389085108,0
0.0015555476662366251,0
0.0026604819658045805,0
-0.003354180724634726,0
-0.0013246083179156206,0
-0.003010024583888864,0
-0.0050762615296146224,0
-0.003181762959481591,0
-0.0016577194649736767,0
0.0037547837908379535,0
-0.0005461927621685623,0
-0.0011068308557244317,0
-0.003238706782136865,0
0.0004358185576965012,0
-0.0023249891379776683,0
0.0026109981485576885,0
0.0023526505300985314,0
0.000723839361595153,0
-0.005727779457792069,0
0.0011025781124149132,0
-0.00010002423275820926,0
0.003049854516573853,0
0.001648226950657417,0
-0.0028257257152666327,0
0.002756914867360632,0
0.0023799619971638327,0
0.0026662264534981924,0
0.0032910820710918757,0
-0.0018487486272014048,0
-0.001363308291781635,0
-0.0007820161888805895,0
-0.0011325882240630172,0
0.00019704834120328602,0
0.0020070890992551944,0
0.001530285874072015,0
-0.0027425844609452704,0
-0.001111489109373766,0
-0.0005362147711940094,0
0.002879258258346328,0
-0.0007057030929980247,0
-0.001820986141564426,0
0.003323209921947669,0
0.0016327730940356878,0
0.0011341751509994472,0
-0.003206741320378886,0
0.000644356068375592,0
-0.0012755793138633127,0
-0.002574355045165685,0
0.002626851824679364,0
-0.0021107439967294928,0
-0.003408516629281086,0
-0.0032342368916141472,0
0.0007409196207794791,0
-0.0009444593868718251,0
-0.0007666433150291819,0
0.0014512406187745035,0
-0.0011312230877875262,0
-0.0009236916203886177,0
0.0017851257242257905,0
-0.003910874194477594,0
0.003079192287654306,0
-0.001623735663424772,0
0.0011771481275397592,0
0.0025033833580979767,0
-0.0011138829572913478,0
-0.0008707771281584319,0
0.0004192668587731903,0
0.00047426505474715475,0
-0.006025286616418275,0
0.001294017811539846,0
-0.0011326470977492645,0
-0.000955181949909226,0
0.002407983681699618,0
0.002255108132360633,0
0.0017122776829589378,0
0.0002901178272492059,0
0.003142222614931396,0
-0.002724424401475278,0
0.0024798886289790394,0
-0.000989562409577293,0
-0.0006798798269226251,0
-0.0003909117734822128,0
0.0004662376041066227,0
0.0006885789554296514,0
-0.00018237902513382884,0
-0.0017785166891664205,0
-0.0009271921635991055,0
0.0006542454925275568,0
-0.0034116002016316618,0
-0.003976937847787787,0
-0.0007541983228735201,0
0.005769098876566706,0
-0.0014303240282436125,0
-0.0014481710926911647,0
0.00011276478599253028,0
0.004681249470162262,0
0.0024656928186851217,0
-1.8206610837243246e-05,0
-0.0014275425487228943,0
-0.0001227581196865474,0
0.000592763072153894,0
0.0006169619315963446,0
0.00311862062908154,0
0.002709031834920823,0
0.001444357143044297,0
-0.004982301760742082,0
-0.0007735171128950087,0
-0.0015774262897003668,0
0.002309851704499962,0
-0.0013292083197005103,0
-0.00011435120527637473,0
-0.002633231980940916,0
-0.0012515280668200478,0
-0.0024533341130226114,0
0.002661063948505151,0
0.0016430973540654337,0
-0.002172561147612829,0
0.0017670986612590834,0
-0.0022883437118443486,0
-0.005634808631968879,0
0.0014486064254578452,0
0.0019551356079244697,0
-0.004033671136755283,0
-0.0024652045703022793,0
-0.00016210601083392742,0
-0.0004069011930317272,0
-0.0031344584785306787,0
0.001946309017716885,0
-0.0014049440259538233,0
-0.0008247214849504918,0
-0.0013813136611840226,0
0.00012401132636338273,0
0.0015681629405768771,0
0.0021518015295218444,0
-0.0014672858085457592,0
-0.0004970056264650926,0
-0.00023200316108234123,0
-0.0010002765429424022,0
0.0015151730632726867,0
8.95833434374637e-05,0
0.00417176146466587,0
-0.0011497748916536462,0
-0.0027477363688088933,0
-0.0016311514832924637,0
0.0018131232197148468,0
0.002301851963636504,0
-0.0024365591733231736,0
0.0014798080073832307,0
0.000712488818135811,0
0.005245869088850991,0
